Title,Company,City,Salary,Summary,AverageSalary,Higher_Salary,Category,City_RichmondVA,City_LincolnNE,City_TampaFL,City_AnnArborMI,City_NewYorkNY,City_SaltLakeCityUT,City_SanFranciscoCA,City_PhoenixAZ,City_SeattleWA,City_WashingtonDC,Summary_analyst,Summary_architect,Summary_data,Summary_intelligence,Summary_business,Summary_engineer,Summary_analysis,Summary_big,Summary_research,Summary_architecture,Company_WiproLTD,Company_CreditAcceptance,Company_UniversityofUtah,Company_RallyHealth,Company_LosAngelesHomelessServicesAuthority,Company_KingCounty,Company_LogicRule,Company_USDepartmentofJustice,Company_AbbottLaboratories,Company_CapitalOne
Business Intelligence Data Engineer,Gordon Food Service,"Wyoming, MI",None,We are looking to add a Data  Engineer who is equally enthusiastic about applying data and analytics to service our...,70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Butterfly Network,"New York, NY",None,"At Butterfly Data Engineering we are fusing a diverse set of data streams such as manufacturing data , commercial data ,...",72360.92299730718,0,I,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Peerspace,"San Francisco, CA 94103",None,"As a Data  Engineer , you will help build our data infrastructure and further develop our analytics and data science...",70354.1767830483,0,I,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. ETL/Data Engineer,CrowdStrike,"Sunnyvale, CA 94086",None,Usage of Data Mart Design and data model. Data Modeling with big-picture view of company data situation and scalable...,70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer Consultant,Adobe,"San Jose, CA",None,"Industry experience as a Data  Engineer or related specialty (Software Engineer , Application Developer)....",72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Engineer,ActiveCampaign,"Chicago, IL 60602",None,We are currently seeking a Senior Data  Engineer to join our Data Science team....,72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer Intern,Mount Sinai,"New York, NY",None,Performs basic administrative and data entry functions. May be called upon to be part of a large file scanning or data ...,72360.92299730718,0,N,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Storage Software Engineer - New Graduate -Seattle WA,DELL,"Seattle, WA 98133",None,Digital transformation starts with the data . Dell Unstructured Data Storage (UDS) Product Group....,71314.6934022699,0,I,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer (MT-2305),Kaiser Permanente,"Downey, CA 90241",None,Prepares data for analytic efforts by integrating and consolidating data;...,70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer II - AMZ3216,"Audible, Inc.","Newark, NJ",None, Data  Engineer II. Mentor junior data  engineers . Evaluate and make decisions around dataset implementations designed and...,67863.08851168634,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Performance Engineers,Blackbird Technical Staffing,"Boston, MA 02298",None,"As a senior engineer you will:. Generate, manage, empower and report the application performance data captured by the...",67863.08851168634,0,D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
